window_days,n_pre_event_days,n_control_days,mean_risk_pre_event,mean_risk_control,auc_prob_superiority,mannwhitney_p
3,146,13580,0.4069,0.4348,0.4514,9.78e-01
7,239,13487,0.4051,0.435,0.4527,9.94e-01
