file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-06-04-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-04,106.67,74.87,4407.4,84.3,19.6,28,49,6.19,0.981,58.9,0.0045,10.0,63993,,,1
2020-06-04-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-04,84.56,65.1,6049.9,849.3,336.6,49,83,7.87,1.549,92.9,0.0556,10.0,50729,,,1
2020-06-04-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-04,112.02,73.21,4194.2,124.5,66.5,39,45,7.01,0.955,57.3,0.0159,10.0,67209,,,1
2020-06-04-TeamB-8d723104-f773-83c1-3458-a748e9bb17bc.parquet,TeamB-8d723104-f773-83c1-3458-a748e9bb17bc,2020-06-04,102.86,65.46,5514.8,462.5,163.7,34,65,7.18,1.404,84.2,0.0297,10.0,61709,,,1
2020-06-04-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-04,98.47,63.99,5097.1,360.2,103.0,34,51,6.78,1.328,79.7,0.0202,10.0,59081,,,1
2020-06-04-TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc.parquet,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-06-04,95.85,66.28,5599.0,563.4,264.8,29,41,7.44,1.408,84.5,0.0473,10.0,57502,,,1
2020-06-04-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-04,98.26,64.38,4835.7,192.7,50.2,38,47,6.91,1.252,75.1,0.0104,10.0,58948,,,1
2020-06-04-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-04,101.85,73.46,6139.4,525.0,229.1,48,45,7.49,1.393,83.6,0.0373,10.0,61107,,,1
2020-06-04-TeamB-baf3897a-3e70-f16a-5548-5822de1b372a.parquet,TeamB-baf3897a-3e70-f16a-5548-5822de1b372a,2020-06-04,102.35,64.51,5466.5,270.6,47.3,33,40,6.56,1.412,84.7,0.0087,10.0,61408,,,1
2020-06-04-TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b.parquet,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-06-04,102.86,68.19,6058.3,581.0,241.9,44,60,7.49,1.481,88.8,0.0399,10.0,61709,,,1
2020-06-05-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-05,114.5,77.17,5790.2,312.8,88.6,42,40,6.46,1.251,75.0,0.0153,10.0,68696,,,1
2020-06-05-TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7.parquet,TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7,2020-06-05,123.52,80.31,6366.2,526.7,140.2,47,52,6.61,1.321,79.3,0.022,10.0,74106,,,1
2020-06-05-TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5.parquet,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-06-05,94.37,65.18,5006.6,366.5,144.2,34,34,6.66,1.28,76.8,0.0288,10.0,56618,,,1
2020-06-05-TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc.parquet,TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc,2020-06-05,105.89,75.59,6065.1,300.3,53.9,58,58,6.32,1.337,80.2,0.0089,10.0,63529,,,1
2020-06-05-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-05,112.89,78.03,6229.5,456.2,111.6,56,42,6.58,1.33,79.8,0.0179,10.0,67726,,,1
2020-06-05-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-05,99.42,66.49,5405.8,505.5,182.4,46,78,7.92,1.355,81.3,0.0337,10.0,59649,,,1
2020-06-05-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-05,123.41,52.86,2435.3,8.1,0.6,37,80,5.54,0.768,46.1,0.0002,10.0,74037,,,1
2020-06-05-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-05,102.67,71.4,5200.9,255.5,111.1,38,44,6.86,1.214,72.8,0.0214,10.0,61599,,,1
2020-06-05-TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc.parquet,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-06-05,104.7,65.93,5240.0,538.2,286.6,45,48,7.74,1.325,79.5,0.0547,10.0,62814,,,1
2020-06-05-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-05,118.84,73.4,5137.4,233.7,45.2,35,38,6.79,1.166,70.0,0.0088,10.0,71298,,,1
2020-06-05-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-05,100.14,74.27,5534.2,369.2,171.6,53,49,7.79,1.242,74.5,0.031,10.0,60079,,,1
2020-06-05-TeamB-baf3897a-3e70-f16a-5548-5822de1b372a.parquet,TeamB-baf3897a-3e70-f16a-5548-5822de1b372a,2020-06-05,113.87,65.03,4934.0,301.4,77.5,32,45,6.44,1.265,75.9,0.0157,10.0,68319,,,1
2020-06-05-TeamB-eb2083e6-ce16-4dba-0ff1-8e0242af9fc3.parquet,TeamB-eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,2020-06-05,70.64,23.33,2063.3,0.0,0.0,1,1,3.75,1.474,88.4,0.0,10.0,42379,,,1
2020-06-08-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-08,130.91,68.09,3556.2,60.1,19.6,46,42,6.45,0.87,52.2,0.0055,10.0,78534,,,1
2020-06-08-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-08,131.94,60.67,3014.1,27.0,6.7,50,48,5.98,0.828,49.7,0.0022,10.0,79159,,,1
2020-06-09-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-09,116.6,73.46,5287.3,230.1,71.7,32,35,6.47,1.2,72.0,0.0136,10.0,69955,,,1
2020-06-09-TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7.parquet,TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7,2020-06-09,115.42,61.81,5113.6,519.9,222.5,34,56,7.31,1.379,82.7,0.0435,10.0,69244,,,1
2020-06-09-TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5.parquet,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-06-09,89.42,57.2,4002.9,218.8,90.7,11,25,6.69,1.166,70.0,0.0227,10.0,53648,,,1
2020-06-09-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-09,111.33,75.71,5749.0,402.3,124.2,45,38,6.9,1.266,75.9,0.0216,10.0,66784,,,1
2020-06-09-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-09,116.43,59.54,3478.3,118.4,70.6,18,20,6.55,0.974,58.4,0.0203,10.0,69845,,,1
2020-06-09-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-09,74.96,58.43,4678.4,432.3,167.1,32,59,6.78,1.335,80.1,0.0357,10.0,44969,,,1
2020-06-09-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-09,130.34,61.92,4113.9,120.0,67.2,19,30,6.99,1.107,66.4,0.0163,10.0,78198,,,1
2020-06-09-TeamB-8d723104-f773-83c1-3458-a748e9bb17bc.parquet,TeamB-8d723104-f773-83c1-3458-a748e9bb17bc,2020-06-09,114.06,46.48,3302.8,252.0,84.6,34,49,7.03,1.184,71.1,0.0256,10.0,68430,,,1
2020-06-09-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-09,85.17,54.03,3642.7,170.1,65.4,16,29,6.43,1.124,67.4,0.018,10.0,51096,,,1
2020-06-09-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-09,113.42,69.16,4622.6,281.3,136.9,59,37,7.25,1.114,66.8,0.0296,10.0,68044,,,1
2020-06-09-TeamB-baf3897a-3e70-f16a-5548-5822de1b372a.parquet,TeamB-baf3897a-3e70-f16a-5548-5822de1b372a,2020-06-09,98.37,59.77,4426.9,349.5,118.8,26,30,6.98,1.234,74.1,0.0268,10.0,59018,,,1
2020-06-10-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-10,79.69,43.38,2826.8,317.7,168.5,29,32,6.83,1.086,65.2,0.0596,10.0,47809,,,1
2020-06-09-TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b.parquet,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-06-09,116.67,58.65,4459.4,336.5,150.4,42,51,7.07,1.267,76.0,0.0337,10.0,69995,,,1
2020-06-10-TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5.parquet,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-06-10,61.49,44.49,3001.5,432.9,254.8,25,26,7.82,1.124,67.5,0.0849,10.0,36889,,,1
2020-06-10-TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7.parquet,TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7,2020-06-10,81.95,50.57,3897.6,566.5,259.0,24,27,8.21,1.284,77.1,0.0665,10.0,49166,,,1
2020-06-10-TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc.parquet,TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc,2020-06-10,80.35,45.22,3080.6,328.5,161.0,20,22,7.63,1.135,68.1,0.0523,10.0,48207,,,1
2020-06-10-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-10,79.36,51.81,3609.9,399.2,199.0,42,26,8.22,1.161,69.7,0.0551,10.0,47611,,,1
2020-06-10-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-10,60.86,45.15,3611.2,658.7,382.2,39,42,8.6,1.333,80.0,0.1058,10.0,36509,,,1
2020-06-10-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-10,143.63,48.11,2963.8,317.1,168.5,21,21,7.87,1.027,61.6,0.0569,10.0,86166,,,1
2020-06-10-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-10,144.28,55.42,3109.0,275.8,175.7,31,25,7.99,0.935,56.1,0.0565,10.0,86564,,,1
2020-06-10-TeamB-8d723104-f773-83c1-3458-a748e9bb17bc.parquet,TeamB-8d723104-f773-83c1-3458-a748e9bb17bc,2020-06-10,79.94,46.02,3301.1,423.1,185.7,26,37,7.3,1.196,71.7,0.0562,10.0,47962,,,1
2020-06-10-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-10,59.69,44.82,2853.7,271.7,152.3,30,31,8.04,1.061,63.7,0.0534,10.0,35809,,,1
2020-06-10-TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc.parquet,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-06-10,80.85,41.88,3110.1,111.6,15.9,6,9,6.17,1.238,74.3,0.0051,10.0,48505,,,1
2020-06-10-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-10,82.49,41.6,2867.1,358.0,190.2,26,30,7.99,1.149,68.9,0.0663,10.0,49488,,,1
2020-06-10-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-10,78.99,52.09,3674.8,395.6,228.8,41,24,8.51,1.176,70.6,0.0623,10.0,47386,,,1
2020-06-10-TeamB-baf3897a-3e70-f16a-5548-5822de1b372a.parquet,TeamB-baf3897a-3e70-f16a-5548-5822de1b372a,2020-06-10,73.42,16.78,1234.9,138.9,34.0,5,2,5.77,1.227,73.6,0.0275,10.0,44051,,,1
2020-06-10-TeamB-eb2083e6-ce16-4dba-0ff1-8e0242af9fc3.parquet,TeamB-eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,2020-06-10,72.74,23.64,1718.0,7.8,0.0,7,8,4.85,1.211,72.7,0.0,10.0,43643,,,1
2020-06-11-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-11,71.77,32.3,1846.9,18.8,0.0,21,28,4.94,0.953,57.2,0.0,10.0,43056,,,1
2020-06-11-TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc.parquet,TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc,2020-06-11,72.12,37.7,2153.1,18.8,0.5,18,27,5.45,0.952,57.1,0.0003,10.0,43268,,,1
2020-06-11-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-11,62.84,31.36,1920.2,86.6,18.8,18,17,6.19,1.02,61.2,0.0098,10.0,37686,,,1
2020-06-11-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-11,67.72,29.4,1357.4,2.3,0.0,21,34,4.72,0.769,46.2,0.0,10.0,40628,,,1
2020-06-11-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-11,65.43,34.42,2076.6,13.5,0.6,21,25,5.65,1.006,60.3,0.0003,10.0,39255,,,1
2020-06-11-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-11,66.35,22.34,1058.4,1.8,0.0,18,40,4.83,0.79,47.4,0.0,10.0,39808,,,1
2020-06-11-TeamB-8d723104-f773-83c1-3458-a748e9bb17bc.parquet,TeamB-8d723104-f773-83c1-3458-a748e9bb17bc,2020-06-11,71.86,33.0,1748.3,10.7,0.0,23,19,4.87,0.883,53.0,0.0,10.0,43112,,,1
2020-06-11-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-11,69.09,32.42,1660.3,1.4,0.0,17,9,4.59,0.854,51.2,0.0,10.0,41449,,,1
2020-06-11-TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc.parquet,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-06-11,68.29,22.94,1238.9,0.4,0.0,6,2,4.45,0.9,54.0,0.0,10.0,40970,,,1
2020-06-11-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-11,72.94,26.43,1415.9,25.3,1.1,14,19,5.34,0.893,53.6,0.0008,10.0,43760,,,1
2020-06-11-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-11,72.44,35.31,2042.3,28.4,5.0,34,19,5.7,0.964,57.8,0.0024,10.0,43458,,,1
2020-06-11-TeamB-baf3897a-3e70-f16a-5548-5822de1b372a.parquet,TeamB-baf3897a-3e70-f16a-5548-5822de1b372a,2020-06-11,70.92,25.65,1336.0,20.3,5.0,15,11,5.78,0.868,52.1,0.0037,10.0,42547,,,1
2020-06-12-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-12,99.86,61.05,3914.9,138.7,35.6,46,42,6.48,1.069,64.1,0.0091,10.0,59906,,,1
2020-06-12-TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7.parquet,TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7,2020-06-12,95.96,48.73,2808.8,110.2,36.3,18,24,6.24,0.961,57.6,0.0129,10.0,57571,,,1
2020-06-12-TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5.parquet,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-06-12,86.39,46.91,3045.5,71.2,10.5,28,22,6.22,1.082,64.9,0.0035,10.0,51829,,,1
2020-06-12-TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc.parquet,TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc,2020-06-12,91.86,57.18,3380.3,42.3,6.0,15,15,5.63,0.985,59.1,0.0018,10.0,55114,,,1
2020-06-12-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-12,100.17,71.48,4726.4,290.1,96.8,37,47,6.71,1.102,66.1,0.0205,10.0,60094,,,1
2020-06-12-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-12,100.11,49.03,2729.1,4.6,0.0,22,34,4.72,0.928,55.7,0.0,10.0,60059,,,1
2020-06-12-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-12,89.5,51.76,3145.7,188.5,59.0,37,52,6.36,1.013,60.8,0.0188,10.0,53697,,,1
2020-06-12-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-12,95.93,50.33,2665.9,5.2,0.0,46,45,5.09,0.883,53.0,0.0,10.0,57554,,,1
2020-06-12-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-12,95.11,55.04,3126.8,95.1,39.3,28,24,7.22,0.947,56.8,0.0126,10.0,57060,,,1
2020-06-12-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-12,95.87,63.17,4006.7,154.0,62.6,32,33,6.59,1.057,63.4,0.0156,10.0,57518,,,1
2020-06-12-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-12,98.18,65.3,3833.1,98.8,42.6,41,23,6.89,0.978,58.7,0.0111,10.0,58904,,,1
2020-06-12-TeamB-baf3897a-3e70-f16a-5548-5822de1b372a.parquet,TeamB-baf3897a-3e70-f16a-5548-5822de1b372a,2020-06-12,93.06,48.59,2757.9,37.9,13.0,35,15,6.14,0.946,56.8,0.0047,10.0,55829,,,1
2020-06-12-TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b.parquet,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-06-12,98.37,59.47,4185.0,276.4,117.8,16,28,6.8,1.173,70.4,0.0281,10.0,59021,,,1
2020-06-12-TeamB-eb2083e6-ce16-4dba-0ff1-8e0242af9fc3.parquet,TeamB-eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,2020-06-12,58.05,23.04,1378.0,19.2,0.5,6,2,5.34,0.997,59.8,0.0004,10.0,34829,,,1
2020-06-13-TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7.parquet,TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7,2020-06-13,75.91,53.75,6273.9,734.9,278.3,12,69,7.01,1.945,116.7,0.0444,10.0,45534,,,1
2020-06-13-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-13,105.52,84.32,8774.5,846.9,294.8,27,46,6.94,1.734,104.1,0.0336,10.0,63309,,,1
2020-06-13-TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5.parquet,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-06-13,103.2,85.09,8762.5,802.5,374.2,20,46,7.84,1.716,103.0,0.0427,10.0,61918,,,1
2020-06-13-TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc.parquet,TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc,2020-06-13,105.46,86.39,9503.6,680.2,199.7,21,54,6.66,1.834,110.0,0.021,10.0,63270,,,1
2020-06-13-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-13,105.86,82.37,9315.6,865.1,274.3,41,68,6.88,1.885,113.1,0.0294,10.0,63490,,,1
2020-06-13-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-13,142.15,60.56,3659.5,89.8,14.1,27,37,6.71,1.007,60.4,0.0039,10.0,85286,,,1
2020-06-13-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-13,73.59,55.73,6604.7,747.6,318.1,19,78,7.71,1.975,118.5,0.0482,10.0,44149,,,1
2020-06-13-TeamB-8d723104-f773-83c1-3458-a748e9bb17bc.parquet,TeamB-8d723104-f773-83c1-3458-a748e9bb17bc,2020-06-13,104.99,46.06,4080.3,707.8,338.6,23,41,8.43,1.476,88.6,0.083,10.0,62989,,,1
2020-06-13-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-13,114.49,70.2,3967.1,41.4,8.8,38,44,5.82,0.942,56.5,0.0022,10.0,68690,,,1
2020-06-13-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-13,98.17,76.59,8068.3,918.6,322.3,36,73,6.71,1.756,105.3,0.04,10.0,58895,,,1
2020-06-13-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-13,105.92,83.27,8824.4,759.0,330.0,30,27,7.73,1.766,106.0,0.0374,10.0,63549,,,1
2020-06-13-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-13,132.41,109.26,10442.9,916.4,367.7,63,56,7.86,1.593,95.6,0.0352,10.0,79440,,,1
2020-06-13-TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b.parquet,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-06-13,75.66,54.77,5950.4,672.9,301.4,15,34,8.29,1.811,108.6,0.0506,10.0,45391,,,1
2020-06-16-TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca.parquet,TeamB-101fbccc-ded7-33e8-b421-eaeb534097ca,2020-06-16,119.45,65.89,4642.3,273.6,112.5,25,46,6.95,1.174,70.5,0.0242,10.0,71664,,,1
2020-06-16-TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7.parquet,TeamB-247a8333-f7b0-b7d2-cda8-056c3d15eef7,2020-06-16,110.49,64.36,4874.4,237.5,65.0,39,46,6.26,1.262,75.7,0.0133,10.0,66288,,,1
2020-06-16-TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5.parquet,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-06-16,119.54,60.43,4737.7,392.6,144.6,32,38,6.65,1.307,78.4,0.0305,10.0,71724,,,1
2020-06-16-TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc.parquet,TeamB-38c1962e-9148-624f-eac1-c14f30e9c5cc,2020-06-16,116.7,57.23,4114.2,208.3,89.4,33,36,6.37,1.198,71.9,0.0217,10.0,70017,,,1
2020-06-16-TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952.parquet,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-06-16,74.42,39.18,2718.7,180.2,81.0,13,16,6.94,1.156,69.4,0.0298,10.0,44649,,,1
2020-06-16-TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf.parquet,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-06-16,118.77,56.43,2669.8,2.7,0.0,43,62,4.74,0.789,47.3,0.0,10.0,71258,,,1
2020-06-16-TeamB-70b74270-f655-43cc-a188-1ebc7a828b95.parquet,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-06-16,122.7,71.67,6920.8,1235.8,498.6,58,105,7.42,1.609,96.6,0.072,10.0,73617,,,1
2020-06-16-TeamB-789547e7-1325-4153-a98d-5ecd497f3668.parquet,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-06-16,129.38,63.38,3208.8,0.9,0.0,49,67,4.8,0.844,50.6,0.0,10.0,77621,,,1
2020-06-16-TeamB-8d723104-f773-83c1-3458-a748e9bb17bc.parquet,TeamB-8d723104-f773-83c1-3458-a748e9bb17bc,2020-06-16,123.19,60.98,4434.9,303.9,137.2,50,56,7.31,1.212,72.7,0.0309,10.0,73909,,,1
2020-06-16-TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2.parquet,TeamB-a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,2020-06-16,117.48,58.32,4573.9,243.0,87.8,37,41,6.94,1.307,78.4,0.0192,10.0,70486,,,1
2020-06-16-TeamB-ab691983-3544-4a0e-8f70-db44d85cb907.parquet,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-06-16,114.02,65.18,4993.7,390.3,147.3,41,54,6.86,1.277,76.6,0.0295,10.0,68406,,,1
2020-06-16-TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f.parquet,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-06-16,119.42,72.46,5210.0,283.1,106.9,42,38,7.28,1.198,71.9,0.0205,10.0,71647,,,1
