file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-07-08-TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613.parquet,TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613,2020-07-08,117.94,82.71,7584.2,921.1,325.0,38,40,7.21,1.528,91.7,0.0428,10.0,70763,,,1
2020-07-10-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-07-10,70.01,32.39,2097.6,275.8,134.1,26,18,6.59,1.079,64.8,0.0639,10.0,41993,,,1
2020-07-13-TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613.parquet,TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613,2020-07-13,70.35,59.52,4276.4,174.5,15.8,39,54,5.7,1.197,71.8,0.0037,10.0,42208,,,1
2020-07-14-TeamA-1846d424-c17c-6279-23c6-612f48268673.parquet,TeamA-1846d424-c17c-6279-23c6-612f48268673,2020-07-14,105.49,74.59,6415.6,346.3,47.3,67,79,6.41,1.433,86.0,0.0074,10.0,63287,,,1
2020-07-14-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455,2020-07-14,96.86,51.47,2750.7,23.0,3.2,41,63,5.47,0.891,53.4,0.0012,10.0,58109,,,1
2020-07-15-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-07-15,110.01,68.59,7026.0,1205.1,585.4,30,28,7.62,1.707,102.4,0.0833,10.0,65996,,,1
2020-07-16-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-07-16,110.51,50.13,3801.6,533.8,298.7,32,37,6.95,1.264,75.8,0.0786,10.0,66294,,,1
2020-07-18-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-07-18,78.47,53.73,3613.3,402.6,158.4,29,29,6.93,1.121,67.2,0.0438,10.0,47076,,,1
2020-07-21-TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c.parquet,TeamA-5487ce1e-af19-922a-d9b8-a714e61a441c,2020-07-21,92.12,63.85,3947.7,72.8,17.8,23,21,6.02,1.03,61.8,0.0045,10.0,55269,,,1
2020-07-19-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-07-19,154.97,123.76,11543.6,728.2,226.3,76,89,6.77,1.555,93.3,0.0196,10.0,92976,,,1
2020-07-22-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-07-22,107.41,67.92,3826.2,27.3,2.7,21,25,5.44,0.939,56.3,0.0007,10.0,64446,,,1
